,TYPE,NUMBER,SESSION,AUTHORSHIP,TITLE,URL
2,Projeto de Lei,792/XIV,2,PCP,"
Altera a Lei da Defesa Nacional (2.ª alteração à Lei Orgânica n.º 1-B/2009, de 7 de julho)
",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110663
3,Projeto de Lei,791/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Reforça os direitos dos trabalhadores em regime de teletrabalho ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110659
4,Projeto de Lei,790/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Garante o direito dos trabalhadores à desconexão profissional",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110658
5,Projeto de Lei,789/XIV,2,PSD,"
Procede à primeira alteração à Lei n.º 75/2020, de 27 de novembro, relativa ao processo extraordinário de viabilização de empresas (PEVE)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110652
6,Projeto de Lei,788/XIV,2,CDS-PP,"
Elimina o aumento de impostos no alojamento local ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110650
7,Projeto de Lei,787/XIV,2,PCP,"
Regime Jurídico da Partilha de Dados Informáticos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110649
8,Projeto de Lei,786/XIV,2,IL,"
Diminui o coeficiente do Alojamento Local (Altera o Código do Imposto sobre o Rendimento das Pessoas Singulares)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110648
9,Projeto de Lei,785/XIV,2,IL,"
Altera o regime de autorização de exploração dos estabelecimentos de alojamento local (5.ª alteração ao Decreto-Lei n.º 128/2014, de 29 de agosto)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110647
0,Projeto de Lei,784/XIV,2,BE,"
Revogação do conceito de pernoita e clarificação do estacionamento no Código da Estrada (alteração dos artigos 48.º e 50.º-a do Código da Estrada, aprovado pelo Decreto-Lei n.º 114/94, de 3 de maio)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110646
1,Projeto de Lei,783/XIV,2,BE,"
Interdita as corridas de galgos e de outros animais da família canidae enquanto práticas contrárias ao comportamento natural dos animais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110645
2,Projeto de Lei,782/XIV,2,PSD,"
Estabelece o regime de subsidiação aplicável à cabotagem marítima entre as ilhas dos Açores e entre estas e o continente.
",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110642
3,Projeto de Lei,781/XIV,2,PS,"
Aprova um regime de prevenção da atividade financeira não autorizada com vista à tutela dos direitos dos consumidores",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110639
4,Projeto de Lei,780/XIV,2,PS,"
Proíbe a discriminação em razão da identidade de género ou orientação sexual na elegibilidade para dar sangue",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110638
5,Projeto de Lei,779/XIV,2,PAN,"
Reconhecimento do estatuto de vítima às crianças que testemunhem ou vivam em contexto de violência doméstica, alterando a Lei n.º 112/2009, de 16 de setembro, que estabelece o regime jurídico aplicável à prevenção da violência doméstica, à proteção e à assistência das suas vítimas, e o Código Penal, aprovado pelo Decreto-Lei n.º 400/82, de 23 de setembro
",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110637
6,Projeto de Lei,778/XIV,2,CH,"
Pela Alteração da Lei de Bases da Segurança Social, estimulando a contribuição de beneficiários de subsídios de longa duração na execução de funções públicas, sempre que para isso existam condições",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110636
7,Projeto de Lei,777/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Reforça a protecção dos direitos fundamentais das pessoas LGBTI+ através da proibição das “terapias de reorientação sexual”",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110628
8,Projeto de Lei,776/XIV,2,PEV,"
Estabelece as condições de proibição de acampamento e aparcamento de veículo (alteração do artigo 50.º-A do Código da Estrada, aprovado pelo Decreto-Lei 114/94, de 3 de maio e republicado, em anexo à Lei 72/2013, de 3 de setembro)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110627
9,Projeto de Lei,775/XIV,2,BE,"
Capacitação de autarquias e revisão de critérios para a gestão de combustível",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110626
0,Projeto de Lei,774/XIV,2,CH,"
Altera o decreto-lei n.º 22-d/2021, de 22 de março, eliminando-se a não realização das provas finais do ensino básico do 9.º ano de escolaridade e dos exames finais nacionais, quando realizados por alunos internos, para efeitos de aprovação de disciplinas e conclusão do ensino secundário e eliminando  a dispensa da realização de provais finais de ciclo, nos casos em que a respectiva realização se encontre prevista apenas para efeitos de prosseguimento de estudo",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110622
1,Projeto de Lei,773/XIV,2,PCP,"
Define um regime temporário de contingência para as redes de faixas secundárias de gestão de combustível",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110620
2,Projeto de Lei,772/XIV,2,JOACINE KATAR MOREIRA (Ninsc),"
Procede a uma alteração do Código Penal, atribuindo a natureza de crime público aos crimes de coação sexual, violação e abuso sexual de pessoa incapaz de resistência, garantindo a conformidade deste diploma com a Convenção do Conselho da Europa para a Prevenção e o Combate à Violência Contra as Mulheres e a Violência Doméstica (Convenção de Istambul)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110614
3,Projeto de Lei,771/XIV,2,PAN,"
Consagra a natureza pública dos crimes de violação, de coacção sexual, de fraude sexual, de abuso sexual de pessoa incapaz de resistência e de procriação artificial não consentida e alarga os prazos de prescrição de crimes contra a liberdade e autodeterminação sexual de menores e do crime de mutilação genital feminina, procedendo à alteração do Código Penal e do Código de Processo Penal",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110609
4,Projeto de Lei,770/XIV,2,PCP,"
Altera e simplifica o regime legal do estacionamento e aparcamento de autocaravanas",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110606
5,Projeto de Lei,769/XIV,2,CDS-PP,"
Altera o Decreto-Lei n.º 10-B/2021, de 4 fevereiro, na sua redação atual, de modo a permitir aos alunos a realização de exames nacionais para efeito de melhoria da classificação final",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110602
6,Projeto de Lei,768/XIV,2,CDS-PP,"
Consagra a natureza de crimes públicos dos crimes de ameaça e de coação, adequando-os ao crime de violência doméstica (quinquagésima terceira alteração ao Código Penal)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110601
7,Projeto de Lei,767/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Pelo reconhecimento do direito ao luto em caso de perda gestacional",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110600
8,Projeto de Lei,766/XIV,2,PSD,"
Criação do fundo de emergência solidária",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110598
