,TYPE,NUMBER,SESSION,AUTHORSHIP,TITLE,URL
9,Projeto de Lei,635/XIV,2,CDS-PP,"
Apoio aos sócios-gerentes e trabalhadores independentes",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45622
0,Projeto de Lei,634/XIV,2,PAN,"
Aprova um regime jurídico de transparência dos contratos, acordos e outros documentos relativos a operações que determinem a utilização ou disponibilização de fundos públicos relativamente a entidades pertencentes a sectores estratégicos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45621
1,Projeto de Lei,633/XIV,2,PCP,"
Redução de embalagens supérfluas em superfícies comerciais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45619
2,Projeto de Lei,632/XIV,2,PCP,"
Monitorização dos Sistemas de Gestão de Resíduos Urbanos e definição de estratégias para incremento da valorização e reciclagem de resíduos urbanos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45618
3,Projeto de Lei,631/XIV,2,PCP,"
Procede à criação de medidas de combate à carência de professores, educadores e técnicos especializados na Escola Pública",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45617
4,Projeto de Lei,630/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Reforça a proteção das crianças e jovens que vivam em contexto de violência doméstica ou que o testemunhem",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45616
5,Projeto de Lei,629/XIV,2,PAN,"
Majoração da componente base da prestação social para a inclusão",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45614
6,Projeto de Lei,628/XIV,2,PAN,"
Promoção da equidade no subsídio parental",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45613
7,Projeto de Lei,627/XIV,2,PSD,"
Procede à alteração dos limites territoriais da freguesia de Valongo do Vouga e da União das Freguesias de Trofa, Segadães e Lamas do Vouga, do Município de Águeda",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45610
8,Projeto de Lei,626/XIV,2,PAN,"
Procede à criação de mecanismos de transparência relativamente às taxas cobradas no âmbito estadual e das autarquias locais, e assegura a avaliação técnica independente das contrapartidas associadas à cobrança de cada uma das taxas existentes no âmbito estadual",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45609
9,Projeto de Lei,625/XIV,2,PAN,"
Promove a interdição do fabrico, posse, utilização e venda de artefactos tendentes a capturar aves silvestres não sujeitas a exploração cinegética",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45608
0,Projeto de Lei,624/XIV,2,PAN,"
Estabelece mecanismos de compensação para docentes deslocados da residência no cumprimento do seu exercício profissional",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45607
1,Projeto de Lei,623/XIV,2,CDS-PP,"
Melhoria das condições para acesso à Prestação Social para a Inclusão e aumento do valor de acumulação da Componente Base com rendimentos de trabalho (4.ª alteração ao Decreto-lei n.º 126-A/2017, de 6 de outubro)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45606
2,Projeto de Lei,622/XIV,2,CDS-PP,"
Cria a licença parental pré-natal e o subsídio parental pré-natal, procedendo à 18.ª alteração à Lei n.º 7/2009, de 12 de fevereiro, à 5.ª alteração ao Decreto-Lei n.º 89/2009, de 9 de abril e à 7.ª alteração ao Decreto-Lei n.º 91/2009, de 9 de abril",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45603
3,Projeto de Lei,621/XIV,2,PSD,"
Procede à alteração dos limites territoriais da freguesia de Nogueira e Silva Escura, do concelho da Maia e da freguesia de Coronado (São Romão e São Mamede), do concelho da Trofa",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45602
4,Projeto de Lei,620/XIV,2,PEV,"
Procede à reposição de freguesias",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45600
5,Projeto de Lei,619/XIV,2,PSD,"
Procede à alteração dos limites territoriais da freguesia de Boivães e a União de Freguesias de Castro, Ruivos e Grovelas, do concelho de Ponte da Barca",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45599
6,Projeto de Lei,618/XIV,2,CDS-PP,"
Conta-corrente entre os Contribuintes e o Estado",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45593
7,Projeto de Lei,617/XIV,2,PAN,"
Regime especial de acesso à reforma antecipada para pessoas com deficiência",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45590
8,Projeto de Lei,616/XIV,2,PEV,"
Determina uma distância mínima entre o extremo de culturas agrícolas permanentes superintensivas e os núcleos habitacionais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45587
9,Projeto de Lei,615/XIV,2,PSD,"
Altera o Estatuto dos Benefícios Fiscais, aprovado pelo Decreto-Lei n.º 215/89, de 1 de julho, clarificando os critérios de concessão de benefícios às entidades licenciadas na Zona Franca da Madeira",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45584
0,Projeto de Lei,614/XIV,2,BE,"
Integração da Caixa de Previdência dos Advogados e Solicitadores na Segurança Social",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45583
1,Projeto de Lei,613/XIV,2,PSD,"
Décima quarta alteração ao Estatuto dos Deputados, aprovado pela Lei n.º 7/93, de 1 de março",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45571
2,Projeto de Lei,612/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Garante aos Advogados, Solicitadores e Agentes de Execução a possibilidade de escolha do regime de contribuições entre a CPAS e a Segurança Social",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45561
3,Projeto de Lei,611/XIV,2,PEV,"
Repõe a duração de 90 dias para o período experimental para trabalhadores à procura do primeiro emprego e desempregados de longa duração (Alteração à Lei n.º 7/2009, de 12 de fevereiro)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45559
4,Projeto de Lei,610/XIV,2,BE,"
Altera o estatuto do estudante internacional do Ensino Superior (terceira alteração ao Decreto-Lei n.º 36/2014, de 10 de março)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45557
5,Projeto de Lei,609/XIV,2,JOACINE KATAR MOREIRA (Ninsc),"
Lei de Bases da Política Climática",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45554
6,Projeto de Lei,608/XIV,2,"PS, PSD, BE, PCP, CDS-PP, PAN, PEV","
Ingresso extraordinário na carreira parlamentar de trabalhadores em cedência de interesse público, na AR, iniciada antes da entrada em vigor da Lei n.º 23/2011, de 20 de maio",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45552
7,Projeto de Lei,607/XIV,2,PSD,"
Renovação da imposição obrigatória do uso de máscara em espaços públicos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45546
8,Projeto de Lei,606/XIV,2,PSD,"
Aprova o regime jurídico da desclassificação de contratos ou outros documentos que comprometem o Estado ou outras entidades integradas no perímetro orçamental em sectores fundamentais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45547
9,Projeto de Lei,605/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Define as bases da política climática",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45533
0,Projeto de Lei,604/XIV,2,CH,"
Tipificação de crime público para as agressões cometidas contra qualquer funcionário público, no exercício das suas funções, independentemente do seu sector de actividade e agravamento das molduras penais previstas para todas as condutas de ofensa à integridade física",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45532
1,Projeto de Lei,603/XIV,2,BE,"
Extensão dos contratos de arrendamento para fins comerciais no período de retoma da economia, no caso de perdas de faturação consideráveis (3.ª alteração à Lei n.º 4-C/2020, de 6 de abril)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45529
2,Projeto de Lei,602/XIV,2,PAN,"
Clarifica o regime excepcional aplicável aos contratos de exploração de imóveis para comércio e serviços em centros comerciais, procedendo para o efeito à aprovação de uma norma interpretativa relativamente à Lei n.º 2/2020, de 31 de março",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45527
3,Projeto de Lei,601/XIV,2,PCP,"
Regime extraordinário de proteção dos arrendatários",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45524
4,Projeto de Lei,600/XIV,2,PCP,"
Regime excecional de pagamento das rendas",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45523
5,Projeto de Lei,599/XIV,2,PCP,"
Estabelece para 2021 o regime excecional aplicável a formas específicas de contratos de exploração de imóveis para comércio e serviços em centros comerciais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45522
6,Projeto de Lei,598/XIV,2,PSD,"
Lei de Bases do Clima",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45521
7,Projeto de Lei,597/XIV,2,PSD,"
Alargar o âmbito de aplicação da possibilidade de realização de reuniões por meios telemáticos existente para os órgãos autárquicos, para os órgãos colegiais e para a prestação de provas públicas, às reuniões das assembleias de condomínio, procedendo à sétima alteração à Lei n.º 1-A/2020, de 19 de março, que aprova medidas excecionais e temporárias de resposta à situação epidemiológica provocada pelo coronavírus SARSCoV-2 e da doença COVID-19",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45519
8,Projeto de Lei,596/XIV,2,BE,"
Alarga o regime extraordinário de proteção dos arrendatários (7.ª alteração à Lei n.º 1-A/2020, de 19 de março)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45507
9,Projeto de Lei,595/XIV,2,"BE, PAN","
Prorrogação da vigência do Observatório Técnico Independente",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45506
0,Projeto de Lei,594/XIV,2,PS,"
Alarga até 30 de junho de 2021 o prazo para a realização por meios de comunicação à distância das reuniões dos órgãos das autarquias locais e das entidades intermunicipais, procedendo à sétima alteração à Lei n.º 1-A/2020, de 19 de março, que aprova medidas excecionais e temporárias de resposta à situação epidemiológica provocada pelo coronavírus SARSCoV-2 e da doença COVID-19",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45501
1,Projeto de Lei,593/XIV,2,CDS-PP,"
Procede à alteração dos limites territoriais das freguesias Beiral do Lima e Serdedelo, do concelho de Ponte de Lima",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45495
2,Projeto de Lei,592/XIV,2,CDS-PP,"
Procede à alteração dos limites territoriais da freguesia de Gondufe e freguesias limítrofes, nomeadamente Ribeira, Gemieira, Gandra, Beiral do Lima e Serdedelo, do concelho de Ponte de Lima",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45494
3,Projeto de Lei,591/XIV,2,PSD,"
Introduz mecanismos de controlo da distribuição eletrónica dos processos da jurisdição administrativa e fiscal, procedendo à sétima alteração ao código de processo nos tribunais administrativos, aprovado pela lei n.º 15/2002, de 22 de fevereiro, e à trigésima terceira alteração ao código de procedimento e do processo tributário, aprovado pelo decreto-lei n.º 433/99, de 26 de outubro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45489
4,Projeto de Lei,590/XIV,2,PEV,"
Antecipação da idade da reforma dos trabalhadores com deficiência",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45488
5,Projeto de Lei,589/XIV,2,IL,"
Criação e manutenção do Portal da Transparência por uma entidade independente",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45487
6,Projeto de Lei,588/XIV,2,PCP,"
Condições de acesso à reforma para as pessoas com deficiência",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45486
7,Projeto de Lei,587/XIV,2,BE,"
Interdita a produção, posse, utilização e comercialização dos meios e formas aplicados exclusivamente na captura ou abate de exemplares de espécies não cinegéticas de aves selvagens (3.ª alteração ao decreto-lei n.º 140/99, de 24 de abril)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45484
8,Projeto de Lei,586/XIV,2,BE,"
Condiciona o exercício da caça a espécies cinegéticas que não se encontrem ameaçadas, ou quase ameaçadas, e que apresentem estatuto de conservação conhecido (8.ª alteração ao decreto-lei n.º 202/2004, de 18 de agosto)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45483
9,Projeto de Lei,585/XIV,2,CDS-PP,"
Reposição da acumulação dos apoios sociais aos Antigos Combatentes, decorrentes dos períodos de prestação de serviço militar em condições especiais de dificuldade ou perigo (2.ª alteração à Lei n.º 3/2009, de 13 de janeiro)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45480
0,Projeto de Lei,584/XIV,2,CDS-PP,"
Determina a identificação de todas as taxas cobradas aos contribuintes e a eliminação das taxas injustas e injustificadas",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45479
1,Projeto de Lei,583/XIV,2,PEV,"
Condições de atribuição do Complemento Solidário para Idosos (Alteração ao Decreto-Lei n.º 232/2005, de 29 de dezembro)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45478
2,Projeto de Lei,582/XIV,2,CH,"
Alteração ao artigo 2.º, n.º 2, alínea e) da Lei nº44/86, de 30 de setembro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45472
3,Projeto de Lei,581/XIV,2,Cidadãos,"
Proibição das corridas de cães em Portugal",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45451
4,Projeto de Lei,580/XIV,2,BE,"
Interdita a menores o trabalho em atividades tauromáquicas, profissionais ou amadoras, assim como a assistência a eventos tauromáquicos (1.ª alteração à Lei n.º 31/2015, de 23 de abril; 2.ª alteração ao Decreto-Lei n.º 23/2014, de 14 de fevereiro; 4.ª alteração à Lei n.º 27/2007, de 30 de julho)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45449
5,Projeto de Lei,579/XIV,2,PSD,"
Altera o artigo 36.º-A do Estatuto dos Benefícios Fiscais, aprovado pelo Decreto-Lei n.º 215/89, de 1 de julho, de modo a prorrogar o período de admissão de novas entidades ao Regime do Centro Internacional de Negócios da Madeira ou Zona Franca da Madeira até 31 de dezembro de 2023, em conformidade com o Regulamento (UE) 2020/972 da Comissão, de 2 de julho de 2020",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45447
6,Projeto de Lei,578/XIV,2,BE,"
Lei de Bases do Clima",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45443
7,Projeto de Lei,577/XIV,2,PS,"
Aprova a Lei de Bases da Política do Clima",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45442
8,Projeto de Lei,576/XIV,2,BE,"
Normas interpretativas que clarificam a aplicação e retroatividade ao periodo de confinamento da suspensão da aplicação de rendas fixas",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45439
9,Projeto de Lei,575/XIV,2,BE,"
Regime excecional de renda não habitacional para lojistas e retalhistas sob o novo Regime de Arrendamento Urbano afetados na sua atividade por força da Covid-19",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45438
0,Projeto de Lei,574/XIV,2,BE,"
Proíbe a suspensão do fornecimento doméstico de serviços essenciais e garante a suspensão de contratos de fornecimento",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45435
1,Projeto de Lei,573/XIV,2,PSD,"
Define as diretrizes para a elaboração dos planos de mobilidade urbana sustentável",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45421
2,Projeto de Lei,572/XIV,2,PCP,"
Determina as circunstâncias em que é permitida a inseminação post mortem e altera a Lei n.º 32/2006, de 26 de julho relativa à procriação medicamente assistida",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45419
3,Projeto de Lei,571/XIV,2,BE,"
Alarga a proteção conferida pela prestação social para a inclusão (4.ª alteração ao Decreto-Lei n.º 126-A/2017, de 6 de outubro)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45417
4,Projeto de Lei,570/XIV,2,PSD,"
Imposição Transitória da Obrigatoriedade do uso de Máscara em Espaços Públicos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45416
5,Projeto de Lei,569/XIV,2,PEV,"
Cria o apoio de deslocalização a atribuir a professores",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45415
6,Projeto de Lei,568/XIV,2,PAN,"
Define os princípios gerais respeitantes ao exercício da profissão de Técnico Auxiliar de Saúde",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45405
7,Projeto de Lei,567/XIV,2,PCP,"
Melhora as condições de atribuição do Complemento Solidário para Idosos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45397
8,Projeto de Lei,566/XIV,2,PCP,"
Regula a prestação de trabalho suplementar na Polícia de Segurança Pública (2.ª alteração ao Decreto-Lei n.º 243/2015, de 19 de outubro)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45389
9,Projeto de Lei,565/XIV,2,CH,"
Pela inclusão, nas deduções à coleta, das despesas relacionadas com ginásios, clubes de fitness e de saúde",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45388
0,Projeto de Lei,564/XIV,2,CH,"
Agravamento das molduras penais mínimas e máximas previstas, face aos crimes de corrupção passiva e ativa",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45387
1,Projeto de Lei,563/XIV,2,PEV,"
Aplicação do suplemento de risco, penosidade e insalubridade (Alteração à Lei n.º 35/2014, de 20 de junho - Lei Geral do Trabalho em Funções Públicas)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45384
2,Projeto de Lei,562/XIV,2,PEV,"
Atribuição das compensações em acréscimo aos suplementos remuneratórios por trabalho executado em condições de risco, penosidade e insalubridade (Alteração à Lei n.º 35/2014, de 20 de junho - Lei Geral do Trabalho em Funções Públicas)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45383
3,Projeto de Lei,561/XIV,2,PCP,"
Simplificação do acesso ao Título de Reconhecimento do Estatuto da Agricultura Familiar e Programa de Valorização da Agricultura Familiar e do Mundo Rural",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45376
4,Projeto de Lei,560/XIV,2,JOACINE KATAR MOREIRA (Ninsc),"
Aprova o Estatuto do Trabalhador Essencial ao Estado de Emergência",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45372
5,Projeto de Lei,559/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Alarga o regime de faltas por motivo de falecimento de cônjuge, parente ou afim e garante o direito ao luto por falecimento de animal de companhia",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45371
6,Projeto de Lei,558/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Estende o regime de falta para assistência à família aos animais de companhia",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45370
7,Projeto de Lei,557/XIV,2,BE,"
Alarga os direitos de Associação dos Militares das Forças Armadas Portuguesas (1.ª alteração à Lei Orgânica n.º 3/2001, de 29 de agosto e 1.ª alteração ao Decreto-Lei n.º 295/2007, de 22 de agosto)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45362
8,Projeto de Lei,556/XIV,2,"PS, PSD, BE, PCP, CDS-PP, PAN, PEV","
Primeira alteração à Lei n.º 103/2019, de 6 de setembro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45352
9,Projeto de Lei,555/XIV,2,BE,"
Reintegração de militares ex-pilotos do quadro permanente da Força Aérea (FAP) que, de 1988 e 1992, decidiram abandonar a efetividade de serviço por não lhes ter sido concedida passagem à situação de reserva ou licença ilimitada",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45348
0,Projeto de Lei,554/XIV,2,CDS-PP,"
Consagra um período extraordinário de entrega voluntária de armas de fogo não manifestadas ou registadas",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45344
1,Projeto de Lei,553/XIV,2,PSD,"
Introduz mecanismos de controlo da distribuição eletrónica dos processos judiciais, procedendo à décima alteração ao Código de Processo Civil, aprovado pela Lei n.º 41/2013, de 26 de junho",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45343
2,Projeto de Lei,552/XIV,2,PCP,"
Estabelece como medidas excecionais e temporárias a reposição da proibição da interrupção do fornecimento doméstico de serviços essenciais e a admissibilidade da suspensão de contratos de fornecimento",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45338
3,Projeto de Lei,551/XIV,2,BE,"
Cria o regime de compensação a docentes deslocados",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45336
4,Projeto de Lei,550/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Estabelece o enquadramento legal da saúde ocupacional e cria a figura do psicólogo no trabalho",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45335
5,Projeto de Lei,549/XIV,2,PS,"
Estabelece um regime excecional de voto antecipado na eleição do Presidente da República para os eleitores a quem foi decretado confinamento obrigatório, decorrente da epidemia SARS-CoV-2 e da doença COVID-19, no respetivo domicílio ou noutro local definido pelas autoridades de saúde que não em estabelecimento hospitalar",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45331
6,Projeto de Lei,548/XIV,2,PS,"
Harmoniza a Lei Eleitoral para o Parlamento Europeu com as disposições em vigor na ordem jurídica portuguesa sobre perda de mandato de titulares de cargos eletivos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45330
7,Projeto de Lei,547/XIV,2,PS,"
Altera disposições das leis eleitorais para o Presidente da República, a Assembleia da República e dos órgãos das autarquias locais, as leis orgânicas do regime do referendo e do referendo local e o regime jurídico do recenseamento eleitoral, alargando o voto em mobilidade e simplificando e uniformizando disposições transversais à realização de atos eleitorais e referendários",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45329
8,Projeto de Lei,546/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Promove o reforço dos direitos dos estrangeiros e apátridas detidos em centros de instalação temporária",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45326
9,Projeto de Lei,545/XIV,2,PCP,"
Melhora as condições de acesso das pessoas com deficiência à Prestação Social para Inclusão",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45322
0,Projeto de Lei,544/XIV,2,PEV,"
Inquérito nacional sobre o desperdício alimentar em Portugal",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45321
1,Projeto de Lei,543/XIV,2,CH,"
Pela alteração da Lei de bases da habitação, impossibilitando o acesso à habitação pública a sujeitos jurídicos que apresentem manifestações de fortuna e outros acréscimos patrimoniais não justificados de acordo com a tabela constante do artigo 4.º do artigo 89.º -A da Lei Geral Tributária, garantindo ainda a impossibilidade de recurso à bolsa de habitação aos cônjuges, ou quaisquer outros elementos de um agregado familiar ao qual já tenha sido atribuído um foco habitacional",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45320
2,Projeto de Lei,542/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Reforça os direitos dos trabalhadores no regime de trabalho nocturno e por turnos (Altera o Código do Trabalho e a Lei Geral do Trabalho em Funções Públicas)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45318
3,Projeto de Lei,541/XIV,2,PCP,"
Regime Transitório para a emissão de Atestados Médicos de Incapacidade Multiuso",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45317
4,Projeto de Lei,540/XIV,2,IL,"
Criação de uma plataforma de notificação de práticas irregulares ou ilegais em Estruturas Residenciais para Idosos",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45316
5,Projeto de Lei,539/XIV,2,IL,"
Restabelece o banco de horas individual (16.ª alteração à Lei n.º 7/2009, de 12 de fevereiro que aprovou o Código do Trabalho)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45315
6,Projeto de Lei,538/XIV,2,PAN,"
Assegure a resposta eficaz da atividade das juntas médicas de avaliação de incapacidades e dos cuidados de saúde primários em situação epidemiológica provocada pela COVID-19",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45314
7,Projeto de Lei,537/XIV,2,PCP,"
Consagra medidas de promoção do escoamento de bens alimentares da pequena agricultura e agricultura familiar e cria um regime público simplificado para aquisição e distribuição de bens alimentares provenientes da pequena e média agricultura e pecuária nacional e da agricultura familiar, combatendo o desperdício alimentar",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45313
8,Projeto de Lei,536/XIV,2,PAN,"
Assegura mais tempo de lazer por via da redução do limite máximo do período normal de trabalho e da consagração do direito a 25 dias úteis de férias nos setores público e privado, procedendo à décima sexta alteração ao Código do Trabalho, aprovado pela Lei n.º 7/2009, de 12 de fevereiro, e à décima terceira alteração à Lei Geral do Trabalho em Funções Públicas, aprovada em anexo à Lei n.º 35/2014, de 20 de junho",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45312
9,Projeto de Lei,535/XIV,2,PAN,"
Consagra o direito de desconexão profissional, procedendo à décima sexta alteração ao Código do Trabalho, aprovado pela Lei n.º 7/2009, de 12 de fevereiro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45311
0,Projeto de Lei,534/XIV,2,PAN,"
Aprova medidas que garantam a conciliação do trabalho com a vida familiar e uma maior estabilidade profissional, procedendo para o efeito à décima sexta alteração ao Código do Trabalho, à décima terceira alteração à Lei Geral do Trabalho em Funções Públicas, e à sexta alteração ao Decreto-Lei n.º 91/2009, de 9 de abril",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45310
1,Projeto de Lei,533/XIV,2,BE,"
Elimina o banco de horas grupal e por acordo de grupo, a adaptabilidade individual e grupal e reforça a fiscalização dos horários de trabalho (16.ª alteração ao Código de Trabalho)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45309
2,Projeto de Lei,532/XIV,2,BE,"
Procede ao reforço da transparência e dos efeitos da proibição de cláusulas gerais nos contratos de adesão (4.ª alteração ao Regime Jurídico das Cláusulas Contratuais Gerais)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45308
3,Projeto de Lei,531/XIV,2,CH,"
Pela proteção do bem-estar animal em contexto de abate religioso",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45307
4,Projeto de Lei,530/XIV,2,PEV,"
Criação de selo para identificação das embalagens contendo azeite com proveniência no olival tradicional",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45304
5,Projeto de Lei,529/XIV,2,PAN,"
Promove a redução de resíduos de embalagens e o aumento da taxa de reciclagem",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45303
6,Projeto de Lei,528/XIV,2,CH,"
Atribuição de subsídio de apoio ao alojamento e deslocação por motivo laboral ao pessoal docente dos Ensinos Básico e Secundário quando deslocados da sua área de residência",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45296
7,Projeto de Lei,527/XIV,2,CH,"
Alteração ao Código Penal, agravando a pena prevista para quem infligir maus tratos a animais de companhia",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45293
8,Projeto de Lei,526/XIV,2,PEV,"
Lei-Quadro da Política Climática",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45292
9,Projeto de Lei,525/XIV,2,PCP,"
Combate a precariedade laboral e reforça os direitos dos trabalhadores (16.ª alteração à Lei n.º 7/2009, de 12 de fevereiro, que aprova o Código do Trabalho)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45291
