author,description,title,url
João Pedro Correia (PS),Cria a Escola Superior de Comércio e Serviços,Projeto de Lei 631/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4501
"Luís Queiró (CDS-PP),Jorge Ferreira (CDS-PP),Helena Santo (CDS-PP),Rui Pedrosa de Moura (CDS-PP),Francisco Peixoto (CDS-PP),Augusto Boucinha (CDS-PP),Sílvio Rui Cervan (CDS-PP)",Que se destina a exortar o Governo a tomar várias medidas para combater a crise da suinicultura em Portugal,Projeto de Resolução 121/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4534
"Sérgio Sousa Pinto (PS),Francisco de Assis (PS),José Magalhães (PS),Afonso Candal (PS),António Reis (PS)",Relativo a alteração da moldura sancionatória aplicável ao incumprimento dos deveres de apresentação ao recenseamento e outros deveres conexos,Projeto de Lei 626/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4506
"Luís Queiró (CDS-PP),Augusto Boucinha (CDS-PP),António Brochado Pedras (CDS-PP),Jorge Ferreira (CDS-PP),Rui Marques (CDS-PP),Helena Santo (CDS-PP)",Adopta medidas de clemência em comemoração dos 25 anos do 25 de Abril,Projeto de Lei 652/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4436
"Carlos Luís (PS),Maria Manuela Augusto (PS),José Carlos Tavares (PS)",Aquisição e perda da nacionalidade portuguesa,Projeto de Lei 615/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4528
"Odete Santos (PCP),Rodeia Machado (PCP),Bernardino Soares (PCP),Lino de Carvalho (PCP),António Filipe (PCP),Alexandrino Saldanha (PCP)",Reforça as garantias do direito a saúde reprodutiva,Projeto de Lei 632/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4500
"Octávio Teixeira (PCP),João Amaral (PCP),Lino de Carvalho (PCP)","Recomenda ao Governo que, no imediato baixe o montante do imposto sobre os produtos petrolíferos",Projeto de Resolução 126/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4489
"Luís Marques Guedes (PSD),Barbosa de Melo (PSD),Carlos Encarnação (PSD),Artur Torres Pereira (PSD),Mota Amaral (PSD),Mário Albuquerque (PSD)",Lei de protecção dos animais,Projeto de Lei 635/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4495
"Casimiro Ramos (PS),Carlos Cordeiro (PS)",Elevação à categoria de vila da povoação de Moita de Ferreiros,Projeto de Lei 654/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4428
Luís Queiró (CDS-PP),"Decreto-lei n° 61/99 de 2 de Março que ""define o acesso e permanência na actividade de empreiteiro de obras publicas e industrial de construção civil. Revoga o decreto-lei n°100/88 de 23 de Março.",Apreciação Parlamentar 89/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4449
Luís Queiró (CDS-PP),"Decreto-lei n° 59/99 de 2 de Março que ""aprova o novo regime jurídico das empreitadas de obras públicas.",Apreciação Parlamentar 87/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4451
"Fernando Pedro Moutinho (PSD),Manuel Moreira (PSD),Moreira da Silva (PSD),Francisco José Martins (PSD)",Elevação da Póvoa de Santa Iria a cidade,Projeto de Lei 614/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4539
"Fernando Pereira Marques (PS),António Reis (PS),Fernando de Sousa (PS),António Braga (PS),Natalina Tavares de Moura (PS),Fernando Jesus (PS),Rui Namorado (PS),Jorge Strecht (PS),Celeste Correia (PS),José Egípto (PS),Miguel Coelho (PS),José Niza (PS)",Apoio a aquisição de instrumentos de musica por bandas filarmónicas e outras formações musicais,Projeto de Lei 658/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4424
"Duarte Alves (PCP) , Bruno Dias (PCP) , António Filipe (PCP) , Paula Santos (PCP) , Diana Ferreira (PCP) , João Dias (PCP) , Alma Rivera (PCP) , Jerónimo de Sousa (PCP) , Vera Prata (PCP) , Ana Mesquita (PCP)","Recomenda ao Governo a reversão da alienação do Novo Banco, a sua transferência para a esfera pública e o apoio especializado às micro, pequenas e médias empresas",Projeto de Resolução 471/XIV,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=44904
"André Silva (PAN) , Bebiana Cunha (PAN) , Inês de Sousa Real (PAN)",Recomenda ao Governo que apresente e submeta à aprovação da Assembleia da República a Estratégia Nacional de Combate à Corrupção 2020-2024,Projeto de Resolução 550/XIV,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45082
